source_frame,timestamp_seconds,detected,class_name,confidence,x_center,y_center,width,height,x_min,y_min,x_max,y_max
129,2.152150,True,Squash-Line-Calling,0.611306,1688.000,793.000,12.000,10.000,1682.000,788.000,1694.000,798.000
130,2.168833,True,Squash-Line-Calling,0.437533,1676.000,789.000,12.000,10.000,1670.000,784.000,1682.000,794.000
131,2.185517,True,Squash-Line-Calling,0.449103,1662.000,786.000,12.000,12.000,1656.000,780.000,1668.000,792.000
132,2.202200,True,Squash-Line-Calling,0.377610,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
133,2.218883,True,Squash-Line-Calling,0.350371,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
134,2.235567,True,Squash-Line-Calling,0.373402,876.000,966.000,12.000,16.000,870.000,958.000,882.000,974.000
135,2.252250,True,Squash-Line-Calling,0.377334,876.000,966.000,12.000,16.000,870.000,958.000,882.000,974.000
136,2.268933,True,Squash-Line-Calling,0.353015,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
137,2.285617,True,Squash-Line-Calling,0.355481,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
138,2.302300,True,Squash-Line-Calling,0.355203,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
139,2.318983,True,Squash-Line-Calling,0.352103,833.000,22.000,10.000,12.000,828.000,16.000,838.000,28.000
140,2.335667,True,Squash-Line-Calling,0.364444,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
141,2.352350,True,Squash-Line-Calling,0.361228,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
142,2.369033,True,Squash-Line-Calling,0.372808,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
143,2.385717,True,Squash-Line-Calling,0.365924,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
144,2.402400,True,Squash-Line-Calling,0.357418,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
145,2.419083,True,Squash-Line-Calling,0.382133,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
146,2.435767,True,Squash-Line-Calling,0.392787,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
147,2.452450,True,Squash-Line-Calling,0.389399,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
148,2.469133,True,Squash-Line-Calling,0.393510,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
149,2.485817,True,Squash-Line-Calling,0.385619,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
150,2.502500,True,Squash-Line-Calling,0.407270,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
151,2.519183,True,Squash-Line-Calling,0.366222,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
152,2.535867,True,Squash-Line-Calling,0.362681,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
153,2.552550,True,Squash-Line-Calling,0.362292,833.000,21.000,10.000,10.000,828.000,16.000,838.000,26.000
